plane,6.43
plant,5.98
pleasure,8.28
poetry,5.86
poison,1.98
politeness,7.18
pollute,1.85
poster,5.34
poverty,1.67
power,6.54
powerful,6.84
prairie,5.75
present,6.95
pressure,3.38
prestige,7.26
pretty,7.75
prick,3.98
pride,7
priest,6.42
prison,2.05
privacy,5.88
profit,7.63
progress,7.73
promotion,8.2
protected,7.29
proud,8.03
pungent,3.95
punishment,2.22
puppy,7.56
pus,2.86
putrid,2.38
python,4.05
quality,6.25
quarrel,2.93
quart,5.39
queen,6.44
quick,6.64
quiet,5.58
rabbit,6.57
rabies,1.77
radiant,6.73
radiator,4.67
radio,6.73
rage,2.41
rain,5.08
rainbow,8.14
rancid,4.34
rape,1.25
rat,3.02
rattle,5.03
razor,4.81
red,6.41
refreshment,7.44
regretful,2.28
rejected,1.5
relaxed,7
repentant,5.53
reptile,4.77
rescue,7.7
resent,3.76
reserved,4.88
respect,7.64
respectful,7.22
restaurant,6.76
reunion,6.48
reverent,5.35
revolt,4.13
revolver,4.02
reward,7.53
riches,7.7
ridicule,3.13
rifle,4.02
rigid,3.66
riot,2.96
river,6.85
roach,2.35
robber,2.61
rock,5.56
rollercoaster,8.02
romantic,8.32
rotten,2.26
rough,4.74
rude,2.5
runner,5.67
rusty,3.86
sad,1.61
safe,7.07
sailboat,7.25
saint,6.49
salad,5.74
salute,5.92
sapphire,7
satisfied,7.94
save,6.45
savior,7.73
scalding,2.82
scandal,3.32
scapegoat,3.67
scar,3.38
scared,2.78
scholar,7.26
scissors,5.05
scorching,3.76
scorn,2.84
scornful,3.02
scorpion,3.69
scream,3.88
scum,2.43
scurvy,3.19
seasick,2.05
seat,4.95
secure,7.57
selfish,2.42
sentiment,5.98
serious,5.08
severe,3.2
sex,8.05
sexy,8.02
shadow,4.35
shamed,2.5
shark,3.65
sheltered,5.75
ship,5.55
shotgun,4.37
shriek,3.93
shy,4.64
sick,1.9
sickness,2.25
silk,6.9
silly,7.41
sin,2.8
sinful,2.93
sissy,3.14
skeptical,4.52
skijump,7.06
skull,4.27
sky,7.37
skyscraper,5.88
slap,2.95
slaughter,1.64
slave,1.84
sleep,7.2
slime,2.68
slow,3.93
slum,2.39
slush,4.66
smallpox,2.52
smooth,6.58
snake,3.31
snob,3.36
snow,7.08
